AVI1W,            Art U1.
AVI2A,            Art U2.
AVI4A,            Art Jr.
AVIOA,            Art OAC.
BKI1W,            Computer U2.
DPC3G,            Computer U1.
DSC3A,            Computer U2.
DSC4A,            Computer Jr.
BAC4A,            Accounting Jr.
DCCOA,            Computer OAC.
BACOA,            Accounting OAC.
ADA3A,            Drama U2.
ADA4A,            Drama Jr.
ADAOA,            Drama OAC.
ENG1W,            English U1.
ENG2A,            English U2.
ENG3A,            English U2.
ENG4A,            English Jr.
EMD4A,            Eng. Media Jr.
ENGOA,            Eng: Lang & Lit. OAC.
EWCOA,            Eng: Writer's Craft.
ELIOA,            Eng: Studies in Lit. OAC.
GEA1W,            Geo: Eur & Asia U1.
GCA2A,            Geo: Canadian U2.
GPH4A,            Geo: Physical Jr.
GHU4A,            Geo: Human Jr.
GWIOA,            Geography OAC
HCT1W,            Hist: Canada U1.
HWC3A,            Hist: Civilization U2.
HRW3A,            Hist: Religions U2.
HRW4A,            Hist: Relgions Jr.
H2POA,            Philosophy Jr.
HWT4A,            History: World Jr.
HCNOA,            Hist: Canada OAC.
HLWOA,            Law OAC.
HPOOA,            Political Sci. OAC.
HWMOA,            Modern Civil. OAC.
HXEOA,            Economy OAC.
VLL2A,            Latin U1.
VLL3A,            Latin U2.
VLGOA,            Latin OAC.
NMT1W,            Guidance U1.
NMT2A,            Guidance U2.
MAT1W,            Maths M2.
MAT2A,            Maths U1.
MAT3A,            Maths U2.
MAT4A,            Maths Jr.
MFNOA,            Finite OAC.
MCAOA,            Calculus OAC.
MAGOA,            Algebra OAC.
FSF1W,            French U1.
FSF2A,            French U2.
FSF3A,            French Jr.
FSFOA,            French OAC.
FSGOA,            French OAC.
LWG2A,            German U1.
LWG3A,            German U2.
LWGOA,            German OAC.
LWS2A,            Spanish U1.
LWS3A,            Spanish U2.
LWSOA,            Spanish OAC.
AMI1W,            Music I U1.
AMG1W,            Music II U1.
AMK1W,            Music III U1.
AMM1A,            Music IV U1.
AMS1W,            Music U1.
AMK2A,            Music V U1.
AMG2A,            Music U2.
AMM2A,            Music U2.
AMI2A,            Music U2.
AMI3A,            Music Jr.
AMH2A,            Music U2.
AMH3A,            Music Jr.
AMJ2A,            Music U2.
AMJ3A,            Music Jr.
AME2A,            Music U2.
AME3A,            Music Jr.
AMM3A,            Music Jr.
AMUOA,            Music OAC.
AMX3A,            Music ext.
AMXOA,            Music ext.
NMT3A,            Northward U2.
NMT3A9,            Jr. Outdoor
PPSOA,            Sr. Outdoor
PHE1W,            Phy ed. U1.
PHE2A,            Phy ed. U2.
PED4A,            Phy ed. Jr.
PPBOA,            Phy ed. OAC.
SNC1W,            Science U1.
SNC2A,            Science U2.
SBI3A,            Biology Jr.
SBIOA,            Biology OAC.
SCH3A2,            Chemistry I Jr.
SCHOA,            Chemistry OAC.
SPH4A,            Physics Jr.
SPHOA,            Physics OAC.
AMF3A5,            Music in Life.
DPC3G1,            Data Processing.
ENT4A,            English and Myth.
FAF4A5,            Business French.
HUS4A,            History: US.
HRW4A,            World Religions.
MTB4G5,            Counsumer Math.
SEN4A5,            Environmental sci.
AMT3A,            Music Theatre.
